time	fLOW FROM 14
21255	0.000220609
21270	0.000219499
21285	0.00021839
21300	0.000217279
21315	0.00021617
21330	0.000215059
21345	0.00021395
21360	0.00021284
21375	0.000211729
21390	0.00021062
21405	0.000209509
21420	0.0002084
21435	0.00020729
21450	0.000206179
21465	0.000205157
21480	0.000204257
21495	0.000203356
21510	0.000202455
21525	0.000201555
21540	0.000200653
21555	0.000199753
21570	0.000198852
21585	0.000197952
21600	0.000197051
21615	0.00019615
21630	0.00019525
21645	0.000194349
21660	0.000193449
21675	0.000192548
21690	0.000191647
21705	0.000190746
21720	0.000189841
21735	0.000188935
21750	0.000188028
21765	0.000187122
21780	0.000186214
21795	0.000185308
21810	0.000184401
21825	0.000183494
21840	0.000182587
21855	0.000181681
21870	0.000180774
21885	0.000179867
21900	0.00017896
21915	0.000178054
21930	0.000177147
21945	0.00017624
21960	0.000175333
21975	0.000174492
21990	0.000173825
22005	0.000173158
22020	0.000172492
22035	0.000171824
22050	0.000171157
22065	0.00017049
22080	0.000169823
22095	0.000169156
22110	0.000168489
22125	0.000167822
22140	0.000167155
22155	0.000166488
22170	0.000165821
22185	0.000165154
22200	0.000164487
22215	0.00016382
22230	0.000163153
22245	0.00016259
22260	0.000162194
22275	0.000161799
22290	0.000161404
22305	0.000161009
22320	0.000160614
22335	0.000160218
22350	0.000159823
22365	0.000159428
22380	0.000159033
22395	0.000158638
22410	0.000158242
22425	0.000157847
22440	0.000157452
22455	0.000157057
22470	0.000156662
22485	0.000156266
22500	0.000155871
22515	0.000155541
22530	0.00015569
22545	0.000155839
22560	0.000155988
22575	0.000156137
22590	0.000156286
22605	0.000156436
22620	0.000156585
22635	0.000156734
22650	0.000156883
22665	0.000157033
22680	0.000157182
22695	0.000157331
22710	0.000157481
22725	0.00015763
22740	0.000157779
22755	0.000157928
22770	0.000158077
22785	0.000158226
22800	0.000167326
22815	0.000178287
22830	0.000189248
22845	0.000200209
22860	0.000211169
22875	0.000222129
22890	0.00023309
22905	0.00024405
22920	0.00025501
22935	0.000265972
22950	0.000276932
22965	0.000287892
22980	0.000298853
22995	0.000309813
23010	0.00032157
23025	0.000335701
23040	0.000349831
23055	0.000363961
23070	0.000378091
23085	0.000392222
23100	0.000406352
23115	0.000420482
23130	0.000434613
23145	0.000448743
23160	0.000462873
23175	0.000477004
23190	0.000491134
23205	0.04337277
23220	0.132561953
23235	0.441010217
23250	1.030030858
23265	1.521979648
23280	1.842977597
23295	2.03455038
23310	2.143148572
23325	2.1914309
23340	2.184662343
23355	2.045092449
23370	1.87212001
23385	1.647267517
23400	1.415242559
23415	1.189806367
23430	1.049413365
23445	0.896603338
23460	0.805378626
23475	0.698286012
23490	0.616939987
23505	0.551815439
23520	0.493579974
23535	0.442108242
23550	0.395905569
23565	0.360340426
23580	0.328702726
23595	0.298784205
23610	0.270034311
23625	0.250434251
23640	0.233173268
23655	0.212668004
23670	0.193550806
23685	0.179586849
23700	0.169789667
23715	0.160422998
23730	0.146374098
23745	0.135669877
23760	0.127559011
23775	0.12194351
23790	0.116710379
23805	0.109356894
23820	0.103448594
23835	0.098522187
23850	0.094621927
23865	0.092243842
23880	0.091108874
23895	0.091650614
23910	0.094645061
23925	0.099277574
23940	0.10481323
23955	0.11074546
23970	0.115488223
23985	0.119056421
24000	0.122236769
24015	0.124964195
24030	0.126937189
24045	0.12816422
24060	0.128558727
24075	0.128537561
24090	0.1280694
24105	0.12659398
24120	0.123400599
24135	0.120179293
24150	0.117302262
24165	0.114948023
24180	0.112844061
24195	0.110029562
24210	0.106836131
24225	0.103483639
24240	0.100919993
24255	0.097374
24270	0.093619382
24285	0.090444267
24300	0.088026489
24315	0.085480013
24330	0.08250886
24345	0.078909178
24360	0.075567371
24375	0.072801502
24390	0.070773625
24405	0.068702404
24420	0.06575184
24435	0.063217524
24450	0.061001996
24465	0.058336795
24480	0.055670974
24495	0.053303436
24510	0.05089921
24525	0.048433986
24540	0.046391409
24555	0.044725114
24570	0.043444144
24585	0.04239233
24600	0.040897055
24615	0.039192833
24630	0.037610041
24645	0.036086685
24660	0.03480172
24675	0.033678168
24690	0.032739507
24705	0.032014784
24720	0.031189688
24735	0.030107896
24750	0.029025933
24765	0.027938503
24780	0.026851071
24795	0.025888437
24810	0.024979415
24825	0.02412363
24840	0.023396554
24855	0.022669478
24870	0.021919675
24885	0.021164443
24900	0.020465442
24915	0.019954198
24930	0.019442955
24945	0.018912293
24960	0.018367451
24975	0.017822609
24990	0.01726645
25005	0.016708148
25020	0.016149929
25035	0.015633105
25050	0.015116281
25065	0.014608394
25080	0.014256983
25095	0.013905572
25110	0.013555629
25125	0.013342909
25140	0.013130186
25155	0.012917464
25170	0.012572086
25185	0.012210822
25200	0.011849557
25215	0.011519448
25230	0.011205292
25245	0.010891135
25260	0.010602868
25275	0.010371822
25290	0.010140774
25305	0.009909726
25320	0.009758608
25335	0.00962064
25350	0.00948267
25365	0.009327395
25380	0.009135324
25395	0.008943252
25410	0.008751181
25425	0.008537048
25440	0.008312016
25455	0.008086983
25470	0.00786195
25485	0.007686591
25500	0.007518118
25515	0.007349644
25530	0.007181172
25545	0.007065498
25560	0.006952155
25575	0.006838812
25590	0.006725468
25605	0.006588347
25620	0.006449233
25635	0.006310118
25650	0.006171003
25665	0.006058647
25680	0.005955777
25695	0.005852908
25710	0.005750039
25725	0.005642544
25740	0.00552871
25755	0.005414877
25770	0.005301043
25785	0.00518721
25800	0.00510187
25815	0.005017929
25830	0.004933988
25845	0.004850048
25860	0.004762671
25875	0.004668504
25890	0.004574337
25905	0.004480171
25920	0.004386005
25935	0.004308725
25950	0.00424572
25965	0.004182714
25980	0.004119709
25995	0.004056703
26010	0.00399998
26025	0.003947574
26040	0.003895168
26055	0.003842762
26070	0.003790357
26085	0.003733807
26100	0.003673129
26115	0.003612452
26130	0.003551774
26145	0.003491096
26160	0.003430152
26175	0.003368303
26190	0.003306455
26205	0.003244607
26220	0.003182759
26235	0.003120912
26250	0.003072364
26265	0.003028344
26280	0.002984325
26295	0.002940305
26310	0.002896286
26325	0.002853532
26340	0.002825921
26355	0.002798311
26370	0.002770701
26385	0.002743091
26400	0.002715481
26415	0.002686522
26430	0.002653626
26445	0.002620731
26460	0.002587835
26475	0.00255494
26490	0.002522044
26505	0.002487816
26520	0.002449554
26535	0.002411292
26550	0.00237303
26565	0.002334768
26580	0.002296505
26595	0.002258359
26610	0.002230059
26625	0.002201759
26640	0.002173458
26655	0.002145159
26670	0.002116858
26685	0.002088559
26700	0.00206583
26715	0.002047324
26730	0.002028818
26745	0.002010312
26760	0.001991806
26775	0.001973301
26790	0.001954795
26805	0.001937131
26820	0.00191951
26835	0.00190189
26850	0.001884269
26865	0.001866648
26880	0.001849028
26895	0.001830319
26910	0.001805333
26925	0.001780346
26940	0.001755359
26955	0.001730372
26970	0.001705384
26985	0.001680397
27000	0.001655831
27015	0.001635765
27030	0.0016157
27045	0.001595634
27060	0.001575568
27075	0.001555503
27090	0.001535438
27105	0.001515373
27120	0.001500055
27135	0.001486147
27150	0.001472239
27165	0.001458331
27180	0.001444423
27195	0.001430515
27210	0.001416607
27225	0.001402848
27240	0.001389571
27255	0.001376294
27270	0.001363016
27285	0.001349739
27300	0.001336462
27315	0.001323185
27330	0.001309908
27345	0.001297164
27360	0.001285063
27375	0.001272963
27390	0.001260863
27405	0.001248763
27420	0.001236663
27435	0.001224562
27450	0.001212461
27465	0.001199716
27480	0.00118608
27495	0.001172443
27510	0.001158807
27525	0.001145171
27540	0.001131535
27555	0.001117898
27570	0.001104262
27585	0.00109099
27600	0.001081501
27615	0.001072012
27630	0.001062524
27645	0.001053035
27660	0.001043547
27675	0.001034058
27690	0.001024569
27705	0.001015081
27720	0.001005503
27735	0.000995828
27750	0.000986154
27765	0.000976479
27780	0.000966806
27795	0.000957131
27810	0.000947457
27825	0.000937783
27840	0.000928108
27855	0.000919504
27870	0.000911689
27885	0.000903874
27900	0.000896058
27915	0.000888243
27930	0.000880428
27945	0.000872613
27960	0.000864797
27975	0.000856982
27990	0.000849685
28005	0.000843309
28020	0.000836934
28035	0.000830558
28050	0.000824183
28065	0.000817808
28080	0.000811432
28095	0.000805057
28110	0.000798681
28125	0.000792306
28140	0.000785923
28155	0.000779539
28170	0.000773154
28185	0.00076677
28200	0.000760386
28215	0.000754002
28230	0.000747617
28245	0.000741233
28260	0.000734849
28275	0.000728452
28290	0.000721826
28305	0.0007152
28320	0.000708574
28335	0.000701947
28350	0.000695321
28365	0.000688696
28380	0.00068207
28395	0.000675443
28410	0.000668817
28425	0.000662191
28440	0.00065664
28455	0.000651256
28470	0.000645874
28485	0.000640491
28500	0.000635108
28515	0.000629725
28530	0.000624342
28545	0.000618959
28560	0.000613577
28575	0.000608194
28590	0.000603382
28605	0.000599824
28620	0.000596268
28635	0.00059271
28650	0.000589153
28665	0.000585595
28680	0.000582038
28695	0.000578481
28710	0.000574924
28725	0.000571366
28740	0.000567809
28755	0.000564339
28770	0.000560973
28785	0.000557608
28800	0.000554243
28815	0.000550877
28830	0.000547513
28845	0.000544147
28860	0.000540782
28875	0.000537417
28890	0.000534051
28905	0.000530686
28920	0.000527004
28935	0.000522479
28950	0.000517954
28965	0.000513428
28980	0.000508904
28995	0.000504379
29010	0.000499854
29025	0.000495329
29040	0.000490804
29055	0.000486279
29070	0.000481755
29085	0.00047723
29100	0.000473286
29115	0.000469659
29130	0.000466033
29145	0.000462406
29160	0.000458779
29175	0.000455153
29190	0.000451526
29205	0.000447898
29220	0.000444272
29235	0.000440645
29250	0.000437018
29265	0.000433392
29280	0.000430425
29295	0.000427926
29310	0.000425426
29325	0.000422928
29340	0.000420428
29355	0.000417929
29370	0.00041543
29385	0.000412931
29400	0.000410431
29415	0.000407933
29430	0.000405433
29445	0.000402934
29460	0.000400589
29475	0.000399168
29490	0.000397746
29505	0.000396324
29520	0.000394903
29535	0.000393481
29550	0.000392058
29565	0.000390637
29580	0.000389215
29595	0.000387793
29610	0.000386371
29625	0.00038495
29640	0.000383527
29655	0.000381562
29670	0.000378794
29685	0.000376027
29700	0.00037326
29715	0.000370493
29730	0.000367726
29745	0.000364959
29760	0.000362191
29775	0.000359425
29790	0.000356658
29805	0.00035389
29820	0.000351123
29835	0.000348356
29850	0.000345682
29865	0.000343429
29880	0.000341175
29895	0.000338922
29910	0.000336669
29925	0.000334415
29940	0.000332162
29955	0.000329908
29970	0.000327655
29985	0.000325402
30000	0.000323148
30015	0.000320896
30030	0.000318642
30045	0.000316389
30060	0.000314418
30075	0.000312755
30090	0.000311093
30105	0.000309431
30120	0.000307769
30135	0.000306107
30150	0.000304445
30165	0.000302783
30180	0.000301121
30195	0.000299458
30210	0.000297797
30225	0.000296134
30240	0.000294472
30255	0.00029281
30270	0.000291394
30285	0.00029043
30300	0.000289466
30315	0.000288501
30330	0.000287537
30345	0.000286571
30360	0.000285607
30375	0.000284643
30390	0.000283678
30405	0.000282713
30420	0.000281748
30435	0.000280784
30450	0.000279819
30465	0.000278854
30480	0.00027789
30495	0.000276441
30510	0.000274926
30525	0.000273411
30540	0.000271897
30555	0.000270381
30570	0.000268867
30585	0.000267353
30600	0.000265838
30615	0.000264323
30630	0.000262809
30645	0.000261294
30660	0.000259779
30675	0.000258264
30690	0.00025675
30705	0.000255236
30720	0.000253634
30735	0.000252025
30750	0.000250416
30765	0.000248808
30780	0.000247199
30795	0.00024559
30810	0.000243981
30825	0.000242373
30840	0.000240763
30855	0.000239155
30870	0.000237546
30885	0.000235937
30900	0.000234329
30915	0.00023272
30930	0.000231111
30945	0.000229658
30960	0.000228457
30975	0.000227256
30990	0.000226055
31005	0.000224854
31020	0.000223653
31035	0.000222452
31050	0.00022125
31065	0.000220049
31080	0.000218849
31095	0.000217647
31110	0.000216446
31125	0.000215245
31140	0.000214044
31155	0.000212843
31170	0.000211642
31185	0.00021058
31200	0.00020982
31215	0.000209061
31230	0.000208301
31245	0.000207541
31260	0.000206782
31275	0.000206022
31290	0.000205263
31305	0.000204503
31320	0.000203743
31335	0.000202984
31350	0.000202224
31365	0.000201465
31380	0.000200705
31395	0.000199945
31410	0.000199186
31425	0.000198426
31440	0.0001975
31455	0.000196531
31470	0.000195563
31485	0.000194594
31500	0.000193626
31515	0.000192657
31530	0.000191688
31545	0.00019072
31560	0.000189751
31575	0.000188782
31590	0.000187814
31605	0.000186845
31620	0.000185876
31635	0.000184908
31650	0.000183939
31665	0.00018297
31680	0.000182002
31695	0.000181114
31710	0.000180264
31725	0.000179415
31740	0.000178566
31755	0.000177717
31770	0.000176866
31785	0.000176017
31800	0.000175168
31815	0.000174318
31830	0.000173469
31845	0.00017262
31860	0.00017177
31875	0.00017092
31890	0.000170071
31905	0.000169222
31920	0.000168372
31935	0.000167523
31950	0.000166674
31965	0.000165867
31980	0.000165063
31995	0.000164258
32010	0.000163453
32025	0.000162649
32040	0.000161844
32055	0.000161038
32070	0.000160234
32085	0.000159429
32100	0.000158624
32115	0.00015782
32130	0.000157015
32145	0.00015621
32160	0.000155405
32175	0.0001546
32190	0.000153796
32205	0.000152991
32220	0.000152186
32235	0.000151557
32250	0.000151024
32265	0.000150491
32280	0.000149959
32295	0.000149426
32310	0.000148894
32325	0.000148361
32340	0.000147829
32355	0.000147296
32370	0.000146763
32385	0.000146231
32400	0.000145698
32415	0.000145165
32430	0.000144633
32445	0.0001441
32460	0.000143567
32475	0.000143034
32490	0.000142502
32505	0.000141969
32520	0.000141347
32535	0.000140696
32550	0.000140045
32565	0.000139395
32580	0.000138745
32595	0.000138094
32610	0.000137443
32625	0.000136792
32640	0.000136143
32655	0.000135492
32670	0.000134841
32685	0.00013419
32700	0.00013354
32715	0.00013289
32730	0.000132239
32745	0.000131588
32760	0.000130938
32775	0.000130287
32790	0.000129637
32805	0.000129022
32820	0.000128584
32835	0.000128147
32850	0.000127709
32865	0.000127272
32880	0.000126834
32895	0.000126396
32910	0.000125959
32925	0.000125521
32940	0.000125083
32955	0.000124645
32970	0.000124207
32985	0.00012377
33000	0.000123332
33015	0.000122894
33030	0.000122456
33045	0.000122018
33060	0.000121581
33075	0.000121143
33090	0.000120705
33105	0.000120267
33120	0.000119967
